name,prefix,status,condition_bytes,target_bytes,condition_shape,target_shape,condition_dtype,target_dtype,condition_sha256,target_sha256,mesh_path,mesh_bytes,mesh_sha256
aj001.npy,aj,missing_condition,,49280,,2048x3,,float64,,191887b61299ae3cfe68df7dce7e2b40b6e0f856b9edfad7fda2b02bdf17a0f9,anjing/aj001.obj,1019343,c1ba632f9610b1a4fd33678e892de4cafe707bfa4772e94f0459a93c5133f9d9
aj00100.npy,aj,missing_target,49280,,2048x3,,float64,,8798b2ce7757139b30414bcc3cfb4fe8c5fa85405e176a080f4b3077b70097b3,,,,
aj00101.npy,aj,matched,49280,49280,2048x3,2048x3,float64,float64,df127c91470c377d47068d995ec9b29fc0d73bc21ab6a4ecf2230fc8e9b195d7,810036772a90a13283b33b81cdc110eabe17f7ea36ea955ffdf343541b548e58,anjing/aj00101.obj,980986,0789675c728da5f95112350a659730e2e7443f6eedc83677523b8720bae020be
aj00102.npy,aj,matched,49280,49280,2048x3,2048x3,float64,float64,16ee0a21a7ca8e894c4d0c2e23e56e94b70a5d206da7f8ceb5f44be08ee2b777,a4833d868c940e54b63c0e1ee3480d1a9e3e44b1f463b44711927b5ea0b3250e,anjing/aj00102.obj,988732,f131de8bff8e28dff758f2a5955c4856b8997e1ded65479c76de77aed0a229f7
aj00103.npy,aj,matched,49280,49280,2048x3,2048x3,float64,float64,5fcd61cec162160a1181dc5cdedf191153bcdf5ef63add2323d413f8b003aacf,63e065862b58fd86f2636372dea7808e340c07a34d227de86e1412c8fd7764a3,anjing/aj00103.obj,1005714,11b1992ddfc58da63b8c8073fbfacb37abd2670ba9fe546a83d85a87df4f2cf6
aj00104.npy,aj,matched,49280,49280,2048x3,2048x3,float64,float64,59a237da079d9e1ba33dc3dce9b4b409a4853306254f98b3c15b0d0d97418500,06b6d15be17aa025f3aa01968469a558900b803b68012b735aebdb891ff7cd45,anjing/aj00104.obj,1027579,20dc0898f245b1c00db269dd4383640a9cdfc21384b3fc63734b90cd9ffe740a
aj00105.npy,aj,matched,49280,49280,2048x3,2048x3,float64,float64,f9182fb5cbb95bc893c3b959813d881fa4c237f01d4b1b8820f6688822086ba6,bd02c8b334307736255dbe078663d11bc9c88d5257823a3023f2cc39b5f3bca3,anjing/aj00105.obj,957935,81372511e02cbd9c3bc7c069d4aca010935d9c8d63525050fe30a10795da0e0c
aj00106.npy,aj,matched,49280,49280,2048x3,2048x3,float64,float64,5d9f76d155bce4a7f12f908dfefe2e0df0e0e8424acdc02229c25456b41790db,a555e7cf2aa1aa9707e2df25a6eb555369b9a84881cc0c03d2b900f07a73a003,anjing/aj00106.obj,965771,780cd7f0605b7ad5bab560669e8b000138d7245de9edcd2615418b698135ce23
aj00107.npy,aj,matched,49280,49280,2048x3,2048x3,float64,float64,ac4106318ae31a18f47885f7d578a9ef2561261815d7b9600709455951c4a240,6c66c23e996846cc154a267655e4cca677621d021ce2652ee12978fffed06970,anjing/aj00107.obj,983838,e75a7a019a5d42313507cd418078d30d1fea56d6ef8b265b7d3caa70fbe031d7
aj00108.npy,aj,matched,49280,49280,2048x3,2048x3,float64,float64,f8c2745213b7f999d0ff12266f1a1135ff7e3e4a473c3fa4b4083fd296ab92d8,60c3d3e4fe46dc2c1b55f446d49d45e0215dd711686afc5b19d27b920536a6f1,anjing/aj00108.obj,985815,e0cc5af1f88c3d970541287724bceebef0820a68cb30e6b34bb0d665ba3614b8
