fold,prefix,flat_l2_cd,prefix_rc_tlr_cd,prefix_delta,samplewise_rc_tlr_cd,samplewise_delta,v2_rc_tlr_cd,v2_delta,meta_rc_tlr_cd,meta_delta,tlr_all_cd,prefix_used_tlr,samplewise_tlr_samples,v2_tlr_samples,v2_tlr_fraction,v2_selected_top_frac,v2_selected_unique_ratio,v2_selected_eff_proto_ratio,notes
0,aj,0.021750826,0.022304902,-0.000536794,0.022304902,-0.000536794,0.022304902,-0.000554076,0.022304902,-0.000554076,0.022304902,true,80,80,1.0000,0.187500,0.125000,0.112656,remaining over-selection; TLR is safe but slightly worse than flat-L2
1,cs,0.019868016,0.020537807,-0.000661115,0.020537807,-0.000661115,0.019888626,-0.000020611,0.019888626,-0.000020611,0.020537807,true,80,3,0.0375,0.333333,1.000000,1.000000,sample-prefix controller reduces old over-selection harm
2,dg,0.025782759,0.025025791,0.000764981,0.025131587,0.000659185,0.025025791,0.000756968,0.025740090,0.000042668,0.025025791,true,65,81,1.0000,0.283951,0.123457,0.083761,robust gain retained by RC-TLR v2
3,dm,0.037740320,0.037736579,0.000000000,0.037740320,-0.000003740,0.037740320,0.000000000,0.037740320,0.000000000,0.036987887,false,0,0,0.0000,1.000000,0.000000,0.000000,fallback to flat-L2; collapse or weak validation evidence
4,gd,0.030247060,0.020860515,0.009371580,0.021215680,0.009016415,0.020860515,0.009386545,0.024822410,0.005424650,0.020860515,true,76,80,1.0000,0.500000,0.087500,0.053308,robust gain retained by RC-TLR v2
5,jc,0.033909216,0.033909216,0.000000000,0.033909216,0.000000000,0.033909216,0.000000000,0.033909216,0.000000000,0.299336384,false,0,0,0.0000,1.000000,0.000000,0.000000,fallback to flat-L2; collapse or weak validation evidence
6,kj,0.029112354,0.023932569,0.005179785,0.024724702,0.004387652,0.023932569,0.005179785,0.023932569,0.005179785,0.023932569,true,68,80,1.0000,0.437500,0.087500,0.064170,robust gain retained by RC-TLR v2
7,lt,0.021778253,0.020657614,0.001120639,0.022359684,-0.000581432,0.022359684,-0.000581431,0.020657614,0.001120639,0.020657614,true,65,65,0.8125,0.738462,0.076923,0.036356,sample controller over-prunes a useful prefix-level TLR fold
8,lx,0.019871705,0.021841421,-0.001969716,0.019871705,0.000000000,0.019871705,0.000000000,0.019896211,-0.000024506,0.021841421,true,0,0,0.0000,1.000000,0.000000,0.000000,fallback to flat-L2; collapse or weak validation evidence
9,xd,0.037711504,0.037203578,0.000501676,0.037711504,-0.000006250,0.037711504,0.000000000,0.037203578,0.000507926,0.037203578,true,0,0,0.0000,1.000000,0.000000,0.000000,fallback to flat-L2; collapse or weak validation evidence
